案件ID,発生日,問題内容,原因,是正策,再発防止策,担当者
QA-2024-001,2024-01-15,溶接部の強度不足,溶接条件の設定ミス,溶接条件の再設定と再溶接を実施,溶接条件チェックリストを作成し作業前確認を徹底,田中
QA-2024-002,2024-02-03,寸法不良（±0.5mm超過）,測定器具の校正切れ,該当部品を再加工、測定器具を校正,測定器具の校正スケジュール管理システムを導入,佐藤
QA-2024-003,2024-02-20,塗装ムラの発生,塗料の粘度管理不足,再塗装を実施、塗料の粘度を適正範囲に調整,塗料粘度の定期測定と記録を標準作業に追加,鈴木
QA-2024-004,2024-03-10,組立時の部品取り違え,作業手順書の不備,正しい部品で組み直し,部品に色分けラベルを導入、手順書を改訂,山田
QA-2024-005,2024-03-25,材料の表面キズ,搬送時の保護不足,キズのない材料と交換,専用保護シートと搬送治具を導入,高橋
QA-2024-006,2024-04-08,ねじの締め付けトルク不足,トルクレンチの設定ミス,規定トルクで再締結,トルク設定の2重チェック体制を確立,伊藤
QA-2024-007,2024-04-22,電気配線の誤接続,配線図の読み間違い,正しく配線を修正、導通試験を実施,配線作業時のダブルチェック制度を導入,渡辺
QA-2024-008,2024-05-10,樹脂成形品の変形,成形温度の管理不良,変形品を再成形、成形条件を適正化,温度管理システムのアラーム機能を強化,中村
QA-2024-009,2024-05-28,表面処理の剥離,前処理工程の不足,剥離部を研磨後再処理,前処理チェックシートを作成し工程確認を徹底,小林
QA-2024-010,2024-06-15,異物混入（金属片）,作業エリアの清掃不足,製品を洗浄し異物を除去,5S活動を強化、作業前後の清掃を標準化,加藤
